"GEO","National Occupational Classification","VALUE"
"Nova Scotia","Automotive service technicians [732]","265"
"Nova Scotia","Automotive service technicians, truck and bus mechanics and mechanical repairers [7321]","215"
"Nova Scotia","Motor vehicle body repairers [7322]","0"
"Nova Scotia","Other mechanics and related repairers [733]","0"
"Nova Scotia","Oil and solid fuel heating mechanics [7331]","0"
"Nova Scotia","Appliance servicers and repairers [7332]","0"
"Nova Scotia","Electrical mechanics [7333]","0"
"Nova Scotia","Motorcycle, all-terrain vehicle and other related mechanics [7334]","0"
"Nova Scotia","Other small engine and small equipment repairers [7335]","0"
"Nova Scotia","Train crew operating occupations [736]","0"
"Nova Scotia","Railway and yard locomotive engineers [7361]","0"
"Nova Scotia","Railway conductors and brakemen/women [7362]","0"
"Nova Scotia","Crane operators, drillers and blasters [737]","0"
"Nova Scotia","Crane operators [7371]","0"
"Nova Scotia","Drillers and blasters - surface mining, quarrying and construction [7372]","0"
"Nova Scotia","Water well drillers [7373]","0"
"Nova Scotia","Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.) [738]","0"
"Nova Scotia","Printing press operators [7381]","0"
"Nova Scotia","Other trades and related occupations, not elsewhere classified (n.e.c.) [7384]","0"
"Nova Scotia","Other installers, repairers and servicers and material handlers [74]","175"
"Nova Scotia","Other installers, repairers and servicers [744]","0"
"Nova Scotia","Residential and commercial installers and servicers [7441]","0"
"Nova Scotia","Waterworks and gas maintenance workers [7442]","0"
"Nova Scotia","Pest controllers and fumigators [7444]","0"
"Nova Scotia","Other repairers and servicers [7445]","0"
"Nova Scotia","Longshore workers and material handlers [745]","110"
"Nova Scotia","Longshore workers [7451]","0"
"Nova Scotia","Material handlers [7452]","95"
"Nova Scotia","Transport and heavy equipment operation and related maintenance occupations [75]","615"
"Nova Scotia","Motor vehicle and transit drivers [751]","515"
"Nova Scotia","Transport truck drivers [7511]","310"
"Nova Scotia","Bus drivers, subway operators and other transit operators [7512]","120"
"Nova Scotia","Taxi and limousine drivers and chauffeurs [7513]","0"
"Nova Scotia","Delivery and courier service drivers [7514]","0"
"Nova Scotia","Heavy equipment operators [752]","0"
"Nova Scotia","Heavy equipment operators (except crane) [7521]","0"
"Nova Scotia","Public works maintenance equipment operators and related workers [7522]","0"
"Nova Scotia","Other transport equipment operators and related maintenance workers [753]","0"
"Nova Scotia","Railway yard and track maintenance workers [7531]","0"
"Nova Scotia","Water transport deck and engine room crew [7532]","0"
"Nova Scotia","Boat and cable ferry operators and related occupations [7533]","0"
"Nova Scotia","Air transport ramp attendants [7534]","0"
"Nova Scotia","Other automotive mechanical installers and servicers [7535]","0"
"Nova Scotia","Trades helpers, construction labourers and related occupations [76]","695"
"Nova Scotia","Trades helpers and labourers [761]","680"
"Nova Scotia","Construction trades helpers and labourers [7611]","630"
"Nova Scotia","Other trades helpers and labourers [7612]","0"
"Nova Scotia","Public works and other labourers, not elsewhere classified (n.e.c.) [762]","0"
"Nova Scotia","Public works and maintenance labourers [7621]","0"
"Nova Scotia","Railway and motor transport labourers [7622]","0"
"Nova Scotia","Natural resources, agriculture and related production occupations [8]","295"
"Nova Scotia","Supervisors and technical occupations in natural resources, agriculture and related production [82]","0"
"Nova Scotia","Supervisors, logging and forestry [821]","0"
"Nova Scotia","Supervisors, logging and forestry [8211]","0"
"Nova Scotia","Contractors and supervisors, mining, oil and gas [822]","0"
"Nova Scotia","Supervisors, mining and quarrying [8221]","0"
"Nova Scotia","Contractors and supervisors, oil and gas drilling and services [8222]","0"
"Nova Scotia","Underground miners, oil and gas drillers and related occupations [823]","0"
"Nova Scotia","Underground production and development miners [8231]","0"
"Nova Scotia","Oil and gas well drillers, servicers, testers and related workers [8232]","0"
"Nova Scotia","Logging machinery operators [824]","0"
"Nova Scotia","Logging machinery operators [8241]","0"
"Nova Scotia","Contractors and supervisors, agriculture, horticulture and related operations and services [825]","0"
"Nova Scotia","Agricultural service contractors, farm supervisors and specialized livestock workers [8252]","0"
"Nova Scotia","Contractors and supervisors, landscaping, grounds maintenance and horticulture services [8255]","0"
"Nova Scotia","Fishing vessel masters and fishermen/women [826]","0"
"Nova Scotia","Fishing masters and officers [8261]","0"
"Nova Scotia","Fishermen/women [8262]","0"
"Nova Scotia","Workers in natural resources, agriculture and related production [84]","205"
"Nova Scotia","Mine service workers and operators in oil and gas drilling [841]","0"
"Nova Scotia","Underground mine service and support workers [8411]","0"
"Nova Scotia","Oil and gas well drilling and related workers and services operators [8412]","0"
"Nova Scotia","Logging and forestry workers [842]","0"
"Nova Scotia","Chain saw and skidder operators [8421]","0"
"Nova Scotia","Silviculture and forestry workers [8422]","0"
"Nova Scotia","Agriculture and horticulture workers [843]","135"
"Nova Scotia","General farm workers [8431]","120"
"Nova Scotia","Nursery and greenhouse workers [8432]","0"
"Nova Scotia","Other workers in fishing and trapping and hunting occupations [844]","0"
"Nova Scotia","Fishing vessel deckhands [8441]","0"
"Nova Scotia","Trappers and hunters [8442]","0"
"Nova Scotia","Harvesting, landscaping and natural resources labourers [86]","80"
"Nova Scotia","Harvesting, landscaping and natural resources labourers [861]","80"
"Nova Scotia","Harvesting labourers [8611]","0"
"Nova Scotia","Landscaping and grounds maintenance labourers [8612]","0"
"Nova Scotia","Aquaculture and marine harvest labourers [8613]","0"
"Nova Scotia","Mine labourers [8614]","0"
"Nova Scotia","Oil and gas drilling, servicing and related labourers [8615]","0"
"Nova Scotia","Logging and forestry labourers [8616]","0"
"Nova Scotia","Occupations in manufacturing and utilities [9]","885"
"Nova Scotia","Processing, manufacturing and utilities supervisors and central control operators [92]","45"
"Nova Scotia","Supervisors, processing and manufacturing occupations [921]","0"
"Nova Scotia","Supervisors, mineral and metal processing [9211]","0"
"Nova Scotia","Supervisors, petroleum, gas and chemical processing and utilities [9212]","0"
"Nova Scotia","Supervisors, food and beverage processing [9213]","0"
"Nova Scotia","Supervisors, plastic and rubber products manufacturing [9214]","0"
"Nova Scotia","Supervisors, forest products processing [9215]","0"
"Nova Scotia","Supervisors, textile, fabric, fur and leather products processing and manufacturing [9217]","0"
"Nova Scotia","Supervisors, assembly and fabrication [922]","0"
"Nova Scotia","Supervisors, motor vehicle assembling [9221]","0"
"Nova Scotia","Supervisors, electronics manufacturing [9222]","0"
"Nova Scotia","Supervisors, electrical products manufacturing [9223]","0"
"Nova Scotia","Supervisors, furniture and fixtures manufacturing [9224]","0"
"Nova Scotia","Supervisors, other mechanical and metal products manufacturing [9226]","0"
"Nova Scotia","Supervisors, other products manufacturing and assembly [9227]","0"
"Nova Scotia","Central control and process operators in processing and manufacturing [923]","0"
"Nova Scotia","Central control and process operators, mineral and metal processing [9231]","0"
"Nova Scotia","Central control and process operators, petroleum, gas and chemical processing [9232]","0"
"Nova Scotia","Pulping, papermaking and coating control operators [9235]","0"
"Nova Scotia","Utilities equipment operators and controllers [924]","25"
"Nova Scotia","Power engineers and power systems operators [9241]","15"
"Nova Scotia","Water and waste treatment plant operators [9243]","5"
"Nova Scotia","Processing and manufacturing machine operators and related production workers [94]","290"
"Nova Scotia","Machine operators and related workers in mineral and metal products processing and manufacturing [941]","0"
"Nova Scotia","Machine operators, mineral and metal processing [9411]","0"
"Nova Scotia","Foundry workers [9412]","0"
"Nova Scotia","Glass forming and finishing machine operators and glass cutters [9413]","0"
"Nova Scotia","Concrete, clay and stone forming operators [9414]","0"
"Nova Scotia","Inspectors and testers, mineral and metal processing [9415]","0"
"Nova Scotia","Metalworking and forging machine operators [9416]","0"
"Nova Scotia","Machining tool operators [9417]","0"
"Nova Scotia","Other metal products machine operators [9418]","0"
"Nova Scotia","Machine operators and related workers in chemical, plastic and rubber processing [942]","35"
"Nova Scotia","Chemical plant machine operators [9421]","0"
"Nova Scotia","Plastics processing machine operators [9422]","0"
"Nova Scotia","Rubber processing machine operators and related workers [9423]","0"
"Nova Scotia","Machine operators and related workers in pulp and paper production and wood processing and manufacturing [943]","0"
"Nova Scotia","Sawmill machine operators [9431]","0"
"Nova Scotia","Pulp mill machine operators [9432]","0"
"Nova Scotia","Papermaking and finishing machine operators [9433]","0"
"Nova Scotia","Other wood processing machine operators [9434]","0"
"Nova Scotia","Paper converting machine operators [9435]","0"
"Nova Scotia","Lumber graders and other wood processing inspectors and graders [9436]","0"
"Nova Scotia","Woodworking machine operators [9437]","0"
"Nova Scotia","Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing [944]","0"
"Nova Scotia","Textile fibre and yarn, hide and pelt processing machine operators and workers [9441]","0"
"Nova Scotia","Weavers, knitters and other fabric making occupations [9442]","0"
"Nova Scotia","Fabric, fur and leather cutters [9445]","0"
"Nova Scotia","Industrial sewing machine operators [9446]","0"
"Nova Scotia","Inspectors and graders, textile, fabric, fur and leather products manufacturing [9447]","0"
"Nova Scotia","Machine operators and related workers in food, beverage and associated products processing [946]","220"
"Nova Scotia","Process control and machine operators, food and beverage processing [9461]","0"
"Nova Scotia","Industrial butchers and meat cutters, poultry preparers and related workers [9462]","0"
"Nova Scotia","Fish and seafood plant workers [9463]","110"
"Nova Scotia","Testers and graders, food and beverage processing [9465]","0"
"Nova Scotia","Printing equipment operators and related occupations [947]","0"
"Nova Scotia","Plateless printing equipment operators [9471]","0"
"Nova Scotia","Camera, platemaking and other prepress occupations [9472]","0"
"Nova Scotia","Binding and finishing machine operators [9473]","0"
"Nova Scotia","Photographic and film processors [9474]","0"
"Nova Scotia","Assemblers in manufacturing [95]","225"
"Nova Scotia","Mechanical, electrical and electronics assemblers [952]","55"
"Nova Scotia","Aircraft assemblers and aircraft assembly inspectors [9521]","0"
"Nova Scotia","Motor vehicle assemblers, inspectors and testers [9522]","0"
"Nova Scotia","Electronics assemblers, fabricators, inspectors and testers [9523]","15"
"Nova Scotia","Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing [9524]","0"
"Nova Scotia","Assemblers, fabricators and inspectors, industrial electrical motors and transformers [9525]","0"
"Nova Scotia","Mechanical assemblers and inspectors [9526]","0"
"Nova Scotia","Machine operators and inspectors, electrical apparatus manufacturing [9527]","0"
"Nova Scotia","Other assembly and related occupations [953]","170"
"Nova Scotia","Boat assemblers and inspectors [9531]","0"
"Nova Scotia","Furniture and fixture assemblers and inspectors [9532]","0"
"Nova Scotia","Other wood products assemblers and inspectors [9533]","0"
"Nova Scotia","Furniture finishers and refinishers [9534]","0"
"Nova Scotia","Plastic products assemblers, finishers and inspectors [9535]","0"
"Nova Scotia","Industrial painters, coaters and metal finishing process operators [9536]","0"
"Nova Scotia","Other products assemblers, finishers and inspectors [9537]","0"
"Nova Scotia","Labourers in processing, manufacturing and utilities [96]","325"
"Nova Scotia","Labourers in processing, manufacturing and utilities [961]","325"
"Nova Scotia","Labourers in mineral and metal processing [9611]","0"
"Nova Scotia","Labourers in metal fabrication [9612]","0"
"Nova Scotia","Labourers in chemical products processing and utilities [9613]","0"
"Nova Scotia","Labourers in wood, pulp and paper processing [9614]","0"
"Nova Scotia","Labourers in rubber and plastic products manufacturing [9615]","60"
"Nova Scotia","Labourers in textile processing [9616]","0"
"Nova Scotia","Labourers in food and beverage processing [9617]","115"
"Nova Scotia","Labourers in fish and seafood processing [9618]","45"
"Nova Scotia","Other labourers in processing, manufacturing and utilities [9619]","0"
"Nova Scotia","Unclassified occupations","0"
"New Brunswick","Total, all occupations","12375"
"New Brunswick","Management occupations [0]","0"
"New Brunswick","Senior management occupations [00]","0"
"New Brunswick","Legislators and senior management [001]","0"
"New Brunswick","Legislators [0011]","0"
"New Brunswick","Senior government managers and officials [0012]","0"
"New Brunswick","Senior managers - financial, communications and other business services [0013]","0"
"New Brunswick","Senior managers - health, education, social and community services and membership organizations [0014]","0"
"New Brunswick","Senior managers - trade, broadcasting and other services, not elsewhere classified (n.e.c.) [0015]","0"
"New Brunswick","Senior managers - construction, transportation, production and utilities [0016]","0"
"New Brunswick","Specialized middle management occupations [01-05]","180"
"New Brunswick","Administrative services managers [011]","90"
"New Brunswick","Financial managers [0111]","0"
"New Brunswick","Human resources managers [0112]","0"
"New Brunswick","Purchasing managers [0113]","0"
"New Brunswick","Other administrative services managers [0114]","0"
"New Brunswick","Managers in financial and business services [012]","45"
"New Brunswick","Insurance, real estate and financial brokerage managers [0121]","0"
"New Brunswick","Banking, credit and other investment managers [0122]","0"
"New Brunswick","Advertising, marketing and public relations managers [0124]","20"
"New Brunswick","Other business services managers [0125]","0"
"New Brunswick","Managers in communication (except broadcasting) [013]","0"
"New Brunswick","Telecommunication carriers managers [0131]","0"
"New Brunswick","Postal and courier services managers [0132]","0"
"New Brunswick","Managers in engineering, architecture, science and information systems [021]","15"
"New Brunswick","Engineering managers [0211]","0"
"New Brunswick","Architecture and science managers [0212]","0"
"New Brunswick","Computer and information systems managers [0213]","0"
"New Brunswick","Managers in health care [031]","5"
"New Brunswick","Managers in health care [0311]","5"
"New Brunswick","Managers in public administration [041]","0"
"New Brunswick","Government managers - health and social policy development and program administration [0411]","0"
"New Brunswick","Government managers - economic analysis, policy development and program administration [0412]","0"
"New Brunswick","Government managers - education policy development and program administration [0413]","0"
"New Brunswick","Other managers in public administration [0414]","0"
"New Brunswick","Managers in education and social and community services [042]","0"
"New Brunswick","Administrators - post-secondary education and vocational training [0421]","10"
"New Brunswick","School principals and administrators of elementary and secondary education [0422]","0"
"New Brunswick","Managers in social, community and correctional services [0423]","0"
"New Brunswick","Managers in public protection services [043]","0"
"New Brunswick","Commissioned police officers [0431]","0"
"New Brunswick","Fire chiefs and senior firefighting officers [0432]","0"
"New Brunswick","Commissioned officers of the Canadian Armed Forces [0433]","0"
"New Brunswick","Managers in art, culture, recreation and sport [051]","5"
"New Brunswick","Library, archive, museum and art gallery managers [0511]","0"
"New Brunswick","Managers - publishing, motion pictures, broadcasting and performing arts [0512]","0"
"New Brunswick","Recreation, sports and fitness program and service directors [0513]","0"
"New Brunswick","Middle management occupations in retail and wholesale trade and customer services [06]","165"
"New Brunswick","Corporate sales managers [060]","10"
"New Brunswick","Corporate sales managers [0601]","10"
"New Brunswick","Retail and wholesale trade managers [062]","105"
"New Brunswick","Retail and wholesale trade managers [0621]","105"
"New Brunswick","Managers in food service and accommodation [063]","55"
"New Brunswick","Restaurant and food service managers [0631]","0"
"New Brunswick","Accommodation service managers [0632]","0"
"New Brunswick","Managers in customer and personal services, not elsewhere classified (n.e.c.) [065]","0"
"New Brunswick","Managers in customer and personal services, not elsewhere classified (n.e.c.) [0651]","0"
"New Brunswick","Middle management occupations in trades, transportation, production and utilities [07-09]","75"
"New Brunswick","Managers in construction and facility operation and maintenance [071]","0"
"New Brunswick","Construction managers [0711]","0"
"New Brunswick","Home building and renovation managers [0712]","0"
"New Brunswick","Facility operation and maintenance managers [0714]","15"
"New Brunswick","Managers in transportation [073]","0"
"New Brunswick","Managers in transportation [0731]","0"
"New Brunswick","Managers in natural resources production and fishing [081]","0"
"New Brunswick","Managers in natural resources production and fishing [0811]","0"
"New Brunswick","Managers in agriculture, horticulture and aquaculture [082]","0"
"New Brunswick","Managers in agriculture [0821]","0"
"New Brunswick","Managers in horticulture [0822]","0"
"New Brunswick","Managers in aquaculture [0823]","0"
"New Brunswick","Managers in manufacturing and utilities [091]","25"
"New Brunswick","Manufacturing managers [0911]","0"
"New Brunswick","Utilities managers [0912]","0"
"New Brunswick","Business, finance and administration occupations [1]","1210"
"New Brunswick","Professional occupations in business and finance [11]","225"
"New Brunswick","Auditors, accountants and investment professionals [111]","95"
"New Brunswick","Financial auditors and accountants [1111]","55"
"New Brunswick","Financial and investment analysts [1112]","15"
"New Brunswick","Securities agents, investment dealers and brokers [1113]","0"
"New Brunswick","Other financial officers [1114]","0"
"New Brunswick","Human resources and business service professionals [112]","130"
"New Brunswick","Human resources professionals [1121]","0"
"New Brunswick","Professional occupations in business management consulting [1122]","20"
"New Brunswick","Professional occupations in advertising, marketing and public relations [1123]","55"
"New Brunswick","Administrative and financial supervisors and administrative occupations [12]","285"
"New Brunswick","Administrative services supervisors [121]","0"
"New Brunswick","Supervisors, general office and administrative support workers [1211]","0"
"New Brunswick","Supervisors, finance and insurance office workers [1212]","0"
"New Brunswick","Supervisors, library, correspondence and related information workers [1213]","0"
"New Brunswick","Supervisors, mail and message distribution occupations [1214]","0"
"New Brunswick","Supervisors, supply chain, tracking and scheduling co-ordination occupations [1215]","0"
"New Brunswick","Administrative and regulatory occupations [122]","115"
"New Brunswick","Administrative officers [1221]","45"
"New Brunswick","Executive assistants [1222]","0"
"New Brunswick","Human resources and recruitment officers [1223]","5"
"New Brunswick","Property administrators [1224]","0"
"New Brunswick","Purchasing agents and officers [1225]","0"
"New Brunswick","Conference and event planners [1226]","0"
"New Brunswick","Court officers and justices of the peace [1227]","0"
"New Brunswick","Employment insurance, immigration, border services and revenue officers [1228]","0"
"New Brunswick","Office administrative assistants - general, legal and medical [124]","75"
"New Brunswick","Administrative assistants [1241]","45"
"New Brunswick","Legal administrative assistants [1242]","0"
"New Brunswick","Medical administrative assistants [1243]","0"
"New Brunswick","Court reporters, transcriptionists, records management technicians and statistical officers [125]","0"
"New Brunswick","Court reporters, medical transcriptionists and related occupations [1251]","0"
"New Brunswick","Health information management occupations [1252]","0"
"New Brunswick","Records management technicians [1253]","0"
"New Brunswick","Statistical officers and related research support occupations [1254]","0"
"New Brunswick","Finance, insurance and related business administrative occupations [13]","0"
"New Brunswick","Finance, insurance and related business administrative occupations [131]","0"
"New Brunswick","Accounting technicians and bookkeepers [1311]","0"
"New Brunswick","Insurance adjusters and claims examiners [1312]","0"
"New Brunswick","Insurance underwriters [1313]","0"
"New Brunswick","Assessors, valuators and appraisers [1314]","0"
"New Brunswick","Customs, ship and other brokers [1315]","0"
"New Brunswick","Office support occupations [14]","275"
"New Brunswick","General office workers [141]","145"
"New Brunswick","General office support workers [1411]","65"
"New Brunswick","Receptionists [1414]","75"
"New Brunswick","Personnel clerks [1415]","0"
"New Brunswick","Court clerks [1416]","0"
"New Brunswick","Office equipment operators [142]","0"
"New Brunswick","Data entry clerks [1422]","0"
"New Brunswick","Desktop publishing operators and related occupations [1423]","0"
"New Brunswick","Financial, insurance and related administrative support workers [143]","0"
"New Brunswick","Accounting and related clerks [1431]","0"
"New Brunswick","Payroll administrators [1432]","5"
"New Brunswick","Banking, insurance and other financial clerks [1434]","0"
"New Brunswick","Collectors [1435]","5"
"New Brunswick","Library, correspondence and other clerks [145]","0"
"New Brunswick","Library assistants and clerks [1451]","0"
"New Brunswick","Correspondence, publication and regulatory clerks [1452]","0"
"New Brunswick","Survey interviewers and statistical clerks [1454]","0"
"New Brunswick","Distribution, tracking and scheduling co-ordination occupations [15]","350"
"New Brunswick","Mail and message distribution occupations [151]","0"
"New Brunswick","Mail, postal and related workers [1511]","0"
"New Brunswick","Letter carriers [1512]","0"
"New Brunswick","Couriers, messengers and door-to-door distributors [1513]","0"
"New Brunswick","Supply chain logistics, tracking and scheduling co-ordination occupations [152]","0"
"New Brunswick","Shippers and receivers [1521]","45"
"New Brunswick","Storekeepers and partspersons [1522]","0"
"New Brunswick","Production logistics co-ordinators [1523]","0"
"New Brunswick","Purchasing and inventory control workers [1524]","0"
"New Brunswick","Dispatchers [1525]","0"
"New Brunswick","Transportation route and crew schedulers [1526]","0"
"New Brunswick","Natural and applied sciences and related occupations [2]","455"
"New Brunswick","Professional occupations in natural and applied sciences [21]","250"
"New Brunswick","Physical science professionals [211]","0"
"New Brunswick","Physicists and astronomers [2111]","0"
"New Brunswick","Chemists [2112]","0"
"New Brunswick","Geoscientists and oceanographers [2113]","0"
"New Brunswick","Meteorologists and climatologists [2114]","0"
"New Brunswick","Other professional occupations in physical sciences [2115]","0"
"New Brunswick","Life science professionals [212]","0"
"New Brunswick","Biologists and related scientists [2121]","0"
"New Brunswick","Forestry professionals [2122]","0"
"New Brunswick","Agricultural representatives, consultants and specialists [2123]","0"
"New Brunswick","Civil, mechanical, electrical and chemical engineers [213]","95"
"New Brunswick","Civil engineers [2131]","0"
"New Brunswick","Mechanical engineers [2132]","20"
"New Brunswick","Electrical and electronics engineers [2133]","0"
"New Brunswick","Chemical engineers [2134]","0"
"New Brunswick","Other engineers [214]","0"
"New Brunswick","Industrial and manufacturing engineers [2141]","0"
"New Brunswick","Metallurgical and materials engineers [2142]","0"
"New Brunswick","Mining engineers [2143]","0"
"New Brunswick","Geological engineers [2144]","0"
"New Brunswick","Petroleum engineers [2145]","0"
"New Brunswick","Aerospace engineers [2146]","0"
"New Brunswick","Computer engineers (except software engineers and designers) [2147]","0"
"New Brunswick","Other professional engineers, not elsewhere classified (n.e.c.) [2148]","5"
"New Brunswick","Architects, urban planners and land surveyors [215]","5"
"New Brunswick","Architects [2151]","0"
"New Brunswick","Landscape architects [2152]","0"
"New Brunswick","Urban and land use planners [2153]","0"
"New Brunswick","Land surveyors [2154]","0"
"New Brunswick","Mathematicians, statisticians and actuaries [216]","0"
"New Brunswick","Mathematicians, statisticians and actuaries [2161]","0"
"New Brunswick","Computer and information systems professionals [217]","95"
"New Brunswick","Information systems analysts and consultants [2171]","30"
"New Brunswick","Database analysts and data administrators [2172]","10"
"New Brunswick","Software engineers and designers [2173]","0"
"New Brunswick","Computer programmers and interactive media developers [2174]","0"
"New Brunswick","Web designers and developers [2175]","0"
"New Brunswick","Technical occupations related to natural and applied sciences [22]","205"
"New Brunswick","Technical occupations in physical sciences [221]","0"
"New Brunswick","Chemical technologists and technicians [2211]","0"
"New Brunswick","Geological and mineral technologists and technicians [2212]","0"
"New Brunswick","Technical occupations in life sciences [222]","0"
"New Brunswick","Biological technologists and technicians [2221]","0"
"New Brunswick","Agricultural and fish products inspectors [2222]","0"
"New Brunswick","Forestry technologists and technicians [2223]","0"
"New Brunswick","Conservation and fishery officers [2224]","0"
"New Brunswick","Landscape and horticulture technicians and specialists [2225]","0"
"New Brunswick","Technical occupations in civil, mechanical and industrial engineering [223]","65"
"New Brunswick","Civil engineering technologists and technicians [2231]","0"
"New Brunswick","Mechanical engineering technologists and technicians [2232]","0"
"New Brunswick","Industrial engineering and manufacturing technologists and technicians [2233]","10"
"New Brunswick","Construction estimators [2234]","0"
"New Brunswick","Technical occupations in electronics and electrical engineering [224]","0"
"New Brunswick","Electrical and electronics engineering technologists and technicians [2241]","0"
"New Brunswick","Electronic service technicians (household and business equipment) [2242]","0"
"New Brunswick","Industrial instrument technicians and mechanics [2243]","0"
"New Brunswick","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244]","0"
"New Brunswick","Technical occupations in architecture, drafting, surveying, geomatics and meteorology [225]","5"
"New Brunswick","Architectural technologists and technicians [2251]","0"
"New Brunswick","Industrial designers [2252]","0"
"New Brunswick","Drafting technologists and technicians [2253]","0"
"New Brunswick","Land survey technologists and technicians [2254]","0"
"New Brunswick","Technical occupations in geomatics and meteorology [2255]","0"
"New Brunswick","Other technical inspectors and regulatory officers [226]","35"
"New Brunswick","Non-destructive testers and inspection technicians [2261]","20"
"New Brunswick","Engineering inspectors and regulatory officers [2262]","0"
"New Brunswick","Inspectors in public and environmental health and occupational health and safety [2263]","0"
"New Brunswick","Construction inspectors [2264]","0"
"New Brunswick","Transportation officers and controllers [227]","0"
"New Brunswick","Air pilots, flight engineers and flying instructors [2271]","0"
"New Brunswick","Air traffic controllers and related occupations [2272]","0"
"New Brunswick","Deck officers, water transport [2273]","0"
"New Brunswick","Engineer officers, water transport [2274]","0"
"New Brunswick","Railway traffic controllers and marine traffic regulators [2275]","0"
"New Brunswick","Technical occupations in computer and information systems [228]","25"
"New Brunswick","Computer network technicians [2281]","0"
"New Brunswick","User support technicians [2282]","0"
"New Brunswick","Information systems testing technicians [2283]","0"
"New Brunswick","Health occupations [3]","2015"
"New Brunswick","Professional occupations in nursing [30]","750"
"New Brunswick","Professional occupations in nursing [301]","750"
"New Brunswick","Nursing co-ordinators and supervisors [3011]","0"
"New Brunswick","Registered nurses and registered psychiatric nurses [3012]","745"
"New Brunswick","Professional occupations in health (except nursing) [31]","240"
"New Brunswick","Physicians, dentists and veterinarians [311]","90"
"New Brunswick","Specialist physicians [3111]","0"
"New Brunswick","General practitioners and family physicians [3112]","0"
"New Brunswick","Dentists [3113]","0"
"New Brunswick","Veterinarians [3114]","0"
"New Brunswick","Optometrists, chiropractors and other health diagnosing and treating professionals [312]","0"
"New Brunswick","Optometrists [3121]","0"
"New Brunswick","Chiropractors [3122]","0"
"New Brunswick","Allied primary health practitioners [3124]","0"
"New Brunswick","Other professional occupations in health diagnosing and treating [3125]","0"
"New Brunswick","Pharmacists, dietitians and nutritionists [313]","70"
"New Brunswick","Pharmacists [3131]","0"
"New Brunswick","Dietitians and nutritionists [3132]","0"
"New Brunswick","Therapy and assessment professionals [314]","70"
"New Brunswick","Audiologists and speech-language pathologists [3141]","0"
"New Brunswick","Physiotherapists [3142]","0"
"New Brunswick","Occupational therapists [3143]","0"
"New Brunswick","Other professional occupations in therapy and assessment [3144]","0"
"New Brunswick","Technical occupations in health [32]","500"
"New Brunswick","Medical technologists and technicians (except dental health) [321]","185"
"New Brunswick","Medical laboratory technologists [3211]","20"
"New Brunswick","Medical laboratory technicians and pathologists' assistants [3212]","15"
"New Brunswick","Animal health technologists and veterinary technicians [3213]","0"
"New Brunswick","Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214]","0"
"New Brunswick","Medical radiation technologists [3215]","20"
"New Brunswick","Medical sonographers [3216]","10"
"New Brunswick","Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217]","0"
"New Brunswick","Other medical technologists and technicians (except dental health) [3219]","80"
"New Brunswick","Technical occupations in dental health care [322]","0"
"New Brunswick","Denturists [3221]","0"
"New Brunswick","Dental hygienists and dental therapists [3222]","0"
"New Brunswick","Dental technologists, technicians and laboratory assistants [3223]","0"
"New Brunswick","Other technical occupations in health care [323]","305"
"New Brunswick","Opticians [3231]","0"
"New Brunswick","Practitioners of natural healing [3232]","0"
"New Brunswick","Licensed practical nurses [3233]","240"
"New Brunswick","Paramedical occupations [3234]","0"
"New Brunswick","Massage therapists [3236]","0"
"New Brunswick","Other technical occupations in therapy and assessment [3237]","0"
"New Brunswick","Assisting occupations in support of health services [34]","520"
"New Brunswick","Assisting occupations in support of health services [341]","520"
"New Brunswick","Dental assistants [3411]","0"
"New Brunswick","Nurse aides, orderlies and patient service associates [3413]","0"
"New Brunswick","Other assisting occupations in support of health services [3414]","0"
"New Brunswick","Occupations in education, law and social, community and government services [4]","990"
"New Brunswick","Professional occupations in education services [40]","90"
"New Brunswick","University professors and post-secondary assistants [401]","0"
"New Brunswick","University professors and lecturers [4011]","0"
"New Brunswick","Post-secondary teaching and research assistants [4012]","0"
"New Brunswick","College and other vocational instructors [402]","0"
"New Brunswick","College and other vocational instructors [4021]","0"
"New Brunswick","Secondary and elementary school teachers and educational counsellors [403]","0"
"New Brunswick","Secondary school teachers [4031]","0"
"New Brunswick","Elementary school and kindergarten teachers [4032]","0"
"New Brunswick","Educational counsellors [4033]","0"
"New Brunswick","Professional occupations in law and social, community and government services [41]","250"
"New Brunswick","Judges, lawyers and Quebec notaries [411]","0"
"New Brunswick","Judges [4111]","0"
"New Brunswick","Lawyers and Quebec notaries [4112]","0"
"New Brunswick","Social and community service professionals [415]","180"
"New Brunswick","Psychologists [4151]","0"
"New Brunswick","Social workers [4152]","0"
"New Brunswick","Family, marriage and other related counsellors [4153]","0"
"New Brunswick","Professional occupations in religion [4154]","0"
"New Brunswick","Probation and parole officers and related occupations [4155]","0"
"New Brunswick","Employment counsellors [4156]","0"
"New Brunswick","Policy and program researchers, consultants and officers [416]","0"
"New Brunswick","Natural and applied science policy researchers, consultants and program officers [4161]","0"
"New Brunswick","Economists and economic policy researchers and analysts [4162]","0"
"New Brunswick","Business development officers and marketing researchers and consultants [4163]","5"
