"GEO","National Occupational Classification (NOC)","VALUE"
"Newfoundland and Labrador","Assisting occupations in support of health services [33]","8.3"
"Newfoundland and Labrador","Occupations in education, law and social, community and government services, except management [41-45]","32.1"
"Newfoundland and Labrador","Professional occupations in law, education, social, community and government services [41]","18.0"
"Newfoundland and Labrador","Professional occupations in law [411]","1.5"
"Newfoundland and Labrador","Professional occupations in education services [412]","9.0"
"Newfoundland and Labrador","Professional occupations in social and community services [413]","3.6"
"Newfoundland and Labrador","Professional occupations in government services [414]","3.9"
"Newfoundland and Labrador","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","6.9"
"Newfoundland and Labrador","Occupations in front-line public protection services [421]","2.4"
"Newfoundland and Labrador","Paraprofessional occupations in legal, social, community and education services [422]","4.5"
"Newfoundland and Labrador","Assisting occupations in education and in legal and public protection [43]","1.3"
"Newfoundland and Labrador","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","5.9"
"Newfoundland and Labrador","Occupations in art, culture, recreation and sport, except management [51-55]","9.7"
"Newfoundland and Labrador","Professional occupations in art and culture [51]","0.9"
"Newfoundland and Labrador","Technical occupations in art, culture and sport [52]","0.9"
"Newfoundland and Labrador","Occupations in art, culture and sport [53]","1.8"
"Newfoundland and Labrador","Support occupations in art, culture and sport [54-55]","6.1"
"Newfoundland and Labrador","Sales and service occupations, except management [62-65]","57.5"
"Newfoundland and Labrador","Retail sales and service supervisors and specialized occupations in sales and services [62]","7.7"
"Newfoundland and Labrador","Occupations in sales and services [63]","7.4"
"Newfoundland and Labrador","Sales and service representatives and other customer and personal services occupations [64]","16.7"
"Newfoundland and Labrador","Sales and service support occupations [65]","25.6"
"Newfoundland and Labrador","Trades, transport and equipment operators and related occupations, except management [72-75]","47.7"
"Newfoundland and Labrador","Technical trades and transportation officers and controllers [72]","26.8"
"Newfoundland and Labrador","General trades [73]","9.8"
"Newfoundland and Labrador","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","3.0"
"Newfoundland and Labrador","Helpers and labourers and other transport drivers, operators and labourers [75]","8.1"
"Newfoundland and Labrador","Natural resources, agriculture and related production occupations, except management [82-85]","13.9"
"Newfoundland and Labrador","Supervisors and occupations in natural resources, agriculture and related production [82-83]","8.7"
"Newfoundland and Labrador","Workers and labourers in natural resources, agriculture and related production [84-85]","5.2"
"Newfoundland and Labrador","Occupations in manufacturing and utilities, except management [92-95]","8.2"
"Newfoundland and Labrador","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","1.9"
"Newfoundland and Labrador","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","3.7"
"Newfoundland and Labrador","Labourers in processing, manufacturing and utilities [95]","2.6"
"Newfoundland and Labrador","Unclassified occupations","6.7"
"Prince Edward Island","Total, all occupations [00-95]","100.1"
"Prince Edward Island","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","9.4"
"Prince Edward Island","Legislative and senior management occupations [00]","0.3"
"Prince Edward Island","Specialized middle management occupations [10, 20, 30, 40, 50]","2.7"
"Prince Edward Island","Middle management occupations in retail and wholesale trade and customer services [60]","3.0"
"Prince Edward Island","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","3.4"
"Prince Edward Island","Business, finance and administration occupations, except management [11-14]","12.6"
"Prince Edward Island","Professional occupations in finance and business [11]","2.6"
"Prince Edward Island","Professional occupations in finance [111]","1.6"
"Prince Edward Island","Professional occupations in business [112]","1.0"
"Prince Edward Island","Administrative and financial supervisors and specialized administrative occupations [12]","3.4"
"Prince Edward Island","Administrative occupations and transportation logistics occupations [13]","3.1"
"Prince Edward Island","Administrative and financial support and supply chain logistics occupations [14]","3.5"
"Prince Edward Island","Natural and applied sciences and related occupations, except management [21-22]","6.4"
"Prince Edward Island","Professional occupations in natural and applied sciences [21]","4.0"
"Prince Edward Island","Professional occupations in natural sciences [211]","0.2"
"Prince Edward Island","Professional occupations in applied sciences (except engineering) [212]","2.8"
"Prince Edward Island","Professional occupations in engineering [213]","1.0"
"Prince Edward Island","Technical occupations related to natural and applied sciences [22]","2.4"
"Prince Edward Island","Health occupations, except management [31-33]","9.5"
"Prince Edward Island","Professional occupations in health [31]","4.3"
"Prince Edward Island","Health treating and consultation services professionals [311]","1.3"
"Prince Edward Island","Therapy and assessment professionals [312]","0.5"
"Prince Edward Island","Nursing and allied health professionals [313]","2.4"
"Prince Edward Island","Technical occupations in health [32]","2.3"
"Prince Edward Island","Assisting occupations in support of health services [33]","2.9"
"Prince Edward Island","Occupations in education, law and social, community and government services, except management [41-45]","10.8"
"Prince Edward Island","Professional occupations in law, education, social, community and government services [41]","6.0"
"Prince Edward Island","Professional occupations in law [411]","0.5"
"Prince Edward Island","Professional occupations in education services [412]","3.0"
"Prince Edward Island","Professional occupations in social and community services [413]","0.9"
"Prince Edward Island","Professional occupations in government services [414]","1.6"
"Prince Edward Island","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","3.7"
"Prince Edward Island","Occupations in front-line public protection services [421]","0"
"Prince Edward Island","Paraprofessional occupations in legal, social, community and education services [422]","3.6"
"Prince Edward Island","Assisting occupations in education and in legal and public protection [43]","0.9"
"Prince Edward Island","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","0.2"
"Prince Edward Island","Occupations in art, culture, recreation and sport, except management [51-55]","3.2"
"Prince Edward Island","Professional occupations in art and culture [51]","0.6"
"Prince Edward Island","Technical occupations in art, culture and sport [52]","0.6"
"Prince Edward Island","Occupations in art, culture and sport [53]","0.9"
"Prince Edward Island","Support occupations in art, culture and sport [54-55]","1.1"
"Prince Edward Island","Sales and service occupations, except management [62-65]","20.2"
"Prince Edward Island","Retail sales and service supervisors and specialized occupations in sales and services [62]","2.1"
"Prince Edward Island","Occupations in sales and services [63]","2.1"
"Prince Edward Island","Sales and service representatives and other customer and personal services occupations [64]","5.7"
"Prince Edward Island","Sales and service support occupations [65]","10.4"
"Prince Edward Island","Trades, transport and equipment operators and related occupations, except management [72-75]","14.5"
"Prince Edward Island","Technical trades and transportation officers and controllers [72]","6.7"
"Prince Edward Island","General trades [73]","4.4"
"Prince Edward Island","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","1.3"
"Prince Edward Island","Helpers and labourers and other transport drivers, operators and labourers [75]","2.1"
"Prince Edward Island","Natural resources, agriculture and related production occupations, except management [82-85]","7.3"
"Prince Edward Island","Supervisors and occupations in natural resources, agriculture and related production [82-83]","2.6"
"Prince Edward Island","Workers and labourers in natural resources, agriculture and related production [84-85]","4.6"
"Prince Edward Island","Occupations in manufacturing and utilities, except management [92-95]","4.6"
"Prince Edward Island","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","1.0"
"Prince Edward Island","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","2.6"
"Prince Edward Island","Labourers in processing, manufacturing and utilities [95]","1.1"
"Prince Edward Island","Unclassified occupations","1.5"
"Nova Scotia","Total, all occupations [00-95]","547.2"
"Nova Scotia","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","44.3"
"Nova Scotia","Legislative and senior management occupations [00]","0.8"
"Nova Scotia","Specialized middle management occupations [10, 20, 30, 40, 50]","17.5"
"Nova Scotia","Middle management occupations in retail and wholesale trade and customer services [60]","14.5"
"Nova Scotia","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","11.6"
"Nova Scotia","Business, finance and administration occupations, except management [11-14]","76.7"
"Nova Scotia","Professional occupations in finance and business [11]","22.1"
"Nova Scotia","Professional occupations in finance [111]","10.5"
"Nova Scotia","Professional occupations in business [112]","11.7"
"Nova Scotia","Administrative and financial supervisors and specialized administrative occupations [12]","16.1"
"Nova Scotia","Administrative occupations and transportation logistics occupations [13]","17.1"
"Nova Scotia","Administrative and financial support and supply chain logistics occupations [14]","21.4"
"Nova Scotia","Natural and applied sciences and related occupations, except management [21-22]","38.2"
"Nova Scotia","Professional occupations in natural and applied sciences [21]","27.1"
"Nova Scotia","Professional occupations in natural sciences [211]","2.9"
"Nova Scotia","Professional occupations in applied sciences (except engineering) [212]","16.4"
"Nova Scotia","Professional occupations in engineering [213]","7.8"
"Nova Scotia","Technical occupations related to natural and applied sciences [22]","11.1"
"Nova Scotia","Health occupations, except management [31-33]","50.6"
