"GEO","National Occupational Classification (NOC)","VALUE"
"Ontario","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","76.5"
"Ontario","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","277.8"
"Ontario","Labourers in processing, manufacturing and utilities [95]","44.9"
"Ontario","Unclassified occupations","231.0"
"Manitoba","Total, all occupations [00-95]","736.1"
"Manitoba","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","61.6"
"Manitoba","Legislative and senior management occupations [00]","1.2"
"Manitoba","Specialized middle management occupations [10, 20, 30, 40, 50]","20.5"
"Manitoba","Middle management occupations in retail and wholesale trade and customer services [60]","21.6"
"Manitoba","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","18.4"
"Manitoba","Business, finance and administration occupations, except management [11-14]","105.9"
"Manitoba","Professional occupations in finance and business [11]","26.9"
"Manitoba","Professional occupations in finance [111]","13.9"
"Manitoba","Professional occupations in business [112]","13.1"
"Manitoba","Administrative and financial supervisors and specialized administrative occupations [12]","25.9"
"Manitoba","Administrative occupations and transportation logistics occupations [13]","22.5"
"Manitoba","Administrative and financial support and supply chain logistics occupations [14]","30.6"
"Manitoba","Natural and applied sciences and related occupations, except management [21-22]","41.8"
"Manitoba","Professional occupations in natural and applied sciences [21]","21.6"
"Manitoba","Professional occupations in natural sciences [211]","2.0"
"Manitoba","Professional occupations in applied sciences (except engineering) [212]","12.6"
"Manitoba","Professional occupations in engineering [213]","7.1"
"Manitoba","Technical occupations related to natural and applied sciences [22]","20.1"
"Manitoba","Health occupations, except management [31-33]","61.5"
"Manitoba","Professional occupations in health [31]","28.4"
"Manitoba","Health treating and consultation services professionals [311]","6.8"
"Manitoba","Therapy and assessment professionals [312]","3.8"
"Manitoba","Nursing and allied health professionals [313]","17.7"
"Manitoba","Technical occupations in health [32]","11.7"
"Manitoba","Assisting occupations in support of health services [33]","21.4"
"Manitoba","Occupations in education, law and social, community and government services, except management [41-45]","91.4"
"Manitoba","Professional occupations in law, education, social, community and government services [41]","50.8"
"Manitoba","Professional occupations in law [411]","1.2"
"Manitoba","Professional occupations in education services [412]","29.6"
"Manitoba","Professional occupations in social and community services [413]","8.7"
"Manitoba","Professional occupations in government services [414]","11.3"
"Manitoba","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","26.1"
"Manitoba","Occupations in front-line public protection services [421]","5.4"
"Manitoba","Paraprofessional occupations in legal, social, community and education services [422]","20.7"
"Manitoba","Assisting occupations in education and in legal and public protection [43]","10.0"
"Manitoba","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","4.4"
"Manitoba","Occupations in art, culture, recreation and sport, except management [51-55]","20.2"
"Manitoba","Professional occupations in art and culture [51]","5.6"
"Manitoba","Technical occupations in art, culture and sport [52]","3.4"
"Manitoba","Occupations in art, culture and sport [53]","3.5"
"Manitoba","Support occupations in art, culture and sport [54-55]","7.6"
"Manitoba","Sales and service occupations, except management [62-65]","151.7"
"Manitoba","Retail sales and service supervisors and specialized occupations in sales and services [62]","24.1"
"Manitoba","Occupations in sales and services [63]","23.6"
"Manitoba","Sales and service representatives and other customer and personal services occupations [64]","45.6"
"Manitoba","Sales and service support occupations [65]","58.4"
"Manitoba","Trades, transport and equipment operators and related occupations, except management [72-75]","129.5"
"Manitoba","Technical trades and transportation officers and controllers [72]","62.0"
"Manitoba","General trades [73]","37.1"
"Manitoba","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","7.8"
"Manitoba","Helpers and labourers and other transport drivers, operators and labourers [75]","22.5"
"Manitoba","Natural resources, agriculture and related production occupations, except management [82-85]","18.0"
"Manitoba","Supervisors and occupations in natural resources, agriculture and related production [82-83]","5.7"
"Manitoba","Workers and labourers in natural resources, agriculture and related production [84-85]","12.3"
"Manitoba","Occupations in manufacturing and utilities, except management [92-95]","37.8"
"Manitoba","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","9.9"
"Manitoba","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","22.2"
"Manitoba","Labourers in processing, manufacturing and utilities [95]","5.8"
"Manitoba","Unclassified occupations","16.8"
"Saskatchewan","Total, all occupations [00-95]","624.7"
"Saskatchewan","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","57.9"
"Saskatchewan","Legislative and senior management occupations [00]","1.5"
"Saskatchewan","Specialized middle management occupations [10, 20, 30, 40, 50]","15.9"
"Saskatchewan","Middle management occupations in retail and wholesale trade and customer services [60]","16.1"
"Saskatchewan","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","24.3"
"Saskatchewan","Business, finance and administration occupations, except management [11-14]","85.8"
"Saskatchewan","Professional occupations in finance and business [11]","18.7"
"Saskatchewan","Professional occupations in finance [111]","10.8"
"Saskatchewan","Professional occupations in business [112]","7.8"
"Saskatchewan","Administrative and financial supervisors and specialized administrative occupations [12]","21.8"
"Saskatchewan","Administrative occupations and transportation logistics occupations [13]","21.5"
"Saskatchewan","Administrative and financial support and supply chain logistics occupations [14]","23.9"
"Saskatchewan","Natural and applied sciences and related occupations, except management [21-22]","33.8"
"Saskatchewan","Professional occupations in natural and applied sciences [21]","18.7"
"Saskatchewan","Professional occupations in natural sciences [211]","2.6"
"Saskatchewan","Professional occupations in applied sciences (except engineering) [212]","10.6"
"Saskatchewan","Professional occupations in engineering [213]","5.5"
"Saskatchewan","Technical occupations related to natural and applied sciences [22]","15.1"
"Saskatchewan","Health occupations, except management [31-33]","58.4"
"Saskatchewan","Professional occupations in health [31]","27.8"
"Saskatchewan","Health treating and consultation services professionals [311]","9.6"
"Saskatchewan","Therapy and assessment professionals [312]","4.1"
"Saskatchewan","Nursing and allied health professionals [313]","14.1"
"Saskatchewan","Technical occupations in health [32]","11.8"
"Saskatchewan","Assisting occupations in support of health services [33]","18.9"
"Saskatchewan","Occupations in education, law and social, community and government services, except management [41-45]","66.8"
"Saskatchewan","Professional occupations in law, education, social, community and government services [41]","36.7"
"Saskatchewan","Professional occupations in law [411]","2.6"
"Saskatchewan","Professional occupations in education services [412]","22.3"
"Saskatchewan","Professional occupations in social and community services [413]","6.2"
"Saskatchewan","Professional occupations in government services [414]","5.6"
"Saskatchewan","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","19.7"
"Saskatchewan","Occupations in front-line public protection services [421]","4.7"
"Saskatchewan","Paraprofessional occupations in legal, social, community and education services [422]","15.0"
"Saskatchewan","Assisting occupations in education and in legal and public protection [43]","7.5"
"Saskatchewan","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","2.9"
"Saskatchewan","Occupations in art, culture, recreation and sport, except management [51-55]","12.1"
"Saskatchewan","Professional occupations in art and culture [51]","3.0"
"Saskatchewan","Technical occupations in art, culture and sport [52]","2.3"
"Saskatchewan","Occupations in art, culture and sport [53]","1.8"
"Saskatchewan","Support occupations in art, culture and sport [54-55]","4.9"
"Saskatchewan","Sales and service occupations, except management [62-65]","142.0"
"Saskatchewan","Retail sales and service supervisors and specialized occupations in sales and services [62]","20.5"
"Saskatchewan","Occupations in sales and services [63]","19.3"
"Saskatchewan","Sales and service representatives and other customer and personal services occupations [64]","41.5"
"Saskatchewan","Sales and service support occupations [65]","60.7"
"Saskatchewan","Trades, transport and equipment operators and related occupations, except management [72-75]","110.4"
"Saskatchewan","Technical trades and transportation officers and controllers [72]","54.1"
"Saskatchewan","General trades [73]","29.6"
"Saskatchewan","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","6.0"
"Saskatchewan","Helpers and labourers and other transport drivers, operators and labourers [75]","20.7"
"Saskatchewan","Natural resources, agriculture and related production occupations, except management [82-85]","28.6"
"Saskatchewan","Supervisors and occupations in natural resources, agriculture and related production [82-83]","10.2"
"Saskatchewan","Workers and labourers in natural resources, agriculture and related production [84-85]","18.4"
"Saskatchewan","Occupations in manufacturing and utilities, except management [92-95]","17.0"
"Saskatchewan","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","6.1"
"Saskatchewan","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","8.0"
"Saskatchewan","Labourers in processing, manufacturing and utilities [95]","2.9"
"Saskatchewan","Unclassified occupations","11.9"
"Alberta","Total, all occupations [00-95]","2664.5"
"Alberta","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","252.7"
"Alberta","Legislative and senior management occupations [00]","7.9"
"Alberta","Specialized middle management occupations [10, 20, 30, 40, 50]","82.3"
"Alberta","Middle management occupations in retail and wholesale trade and customer services [60]","65.6"
"Alberta","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","96.8"
"Alberta","Business, finance and administration occupations, except management [11-14]","413.6"
"Alberta","Professional occupations in finance and business [11]","107.4"
"Alberta","Professional occupations in finance [111]","57.1"
"Alberta","Professional occupations in business [112]","50.3"
"Alberta","Administrative and financial supervisors and specialized administrative occupations [12]","104.3"
"Alberta","Administrative occupations and transportation logistics occupations [13]","90.1"
"Alberta","Administrative and financial support and supply chain logistics occupations [14]","111.8"
"Alberta","Natural and applied sciences and related occupations, except management [21-22]","231.5"
"Alberta","Professional occupations in natural and applied sciences [21]","131.1"
"Alberta","Professional occupations in natural sciences [211]","7.9"
"Alberta","Professional occupations in applied sciences (except engineering) [212]","73.7"
"Alberta","Professional occupations in engineering [213]","49.5"
"Alberta","Technical occupations related to natural and applied sciences [22]","100.4"
"Alberta","Health occupations, except management [31-33]","201.5"
"Alberta","Professional occupations in health [31]","91.7"
"Alberta","Health treating and consultation services professionals [311]","19.5"
"Alberta","Therapy and assessment professionals [312]","12.9"
"Alberta","Nursing and allied health professionals [313]","59.2"
"Alberta","Technical occupations in health [32]","65.1"
"Alberta","Assisting occupations in support of health services [33]","44.7"
"Alberta","Occupations in education, law and social, community and government services, except management [41-45]","239.4"
"Alberta","Professional occupations in law, education, social, community and government services [41]","141.6"
"Alberta","Professional occupations in law [411]","11.7"
"Alberta","Professional occupations in education services [412]","72.8"
"Alberta","Professional occupations in social and community services [413]","24.1"
"Alberta","Professional occupations in government services [414]","33.0"
"Alberta","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","70.4"
"Alberta","Occupations in front-line public protection services [421]","19.9"
"Alberta","Paraprofessional occupations in legal, social, community and education services [422]","50.5"
"Alberta","Assisting occupations in education and in legal and public protection [43]","18.3"
"Alberta","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","9.1"
"Alberta","Occupations in art, culture, recreation and sport, except management [51-55]","58.9"
"Alberta","Professional occupations in art and culture [51]","9.8"
"Alberta","Technical occupations in art, culture and sport [52]","16.5"
"Alberta","Occupations in art, culture and sport [53]","14.8"
"Alberta","Support occupations in art, culture and sport [54-55]","17.7"
"Alberta","Sales and service occupations, except management [62-65]","564.7"
"Alberta","Retail sales and service supervisors and specialized occupations in sales and services [62]","74.0"
"Alberta","Occupations in sales and services [63]","67.3"
"Alberta","Sales and service representatives and other customer and personal services occupations [64]","178.9"
"Alberta","Sales and service support occupations [65]","244.4"
"Alberta","Trades, transport and equipment operators and related occupations, except management [72-75]","455.4"
"Alberta","Technical trades and transportation officers and controllers [72]","233.5"
"Alberta","General trades [73]","123.9"
"Alberta","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","20.1"
"Alberta","Helpers and labourers and other transport drivers, operators and labourers [75]","77.9"
"Alberta","Natural resources, agriculture and related production occupations, except management [82-85]","89.4"
"Alberta","Supervisors and occupations in natural resources, agriculture and related production [82-83]","44.5"
"Alberta","Workers and labourers in natural resources, agriculture and related production [84-85]","45.0"
"Alberta","Occupations in manufacturing and utilities, except management [92-95]","80.5"
"Alberta","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","29.3"
"Alberta","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","37.0"
"Alberta","Labourers in processing, manufacturing and utilities [95]","14.2"
"Alberta","Unclassified occupations","76.9"
"British Columbia","Total, all occupations [00-95]","2975.0"
"British Columbia","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","310.0"
"British Columbia","Legislative and senior management occupations [00]","8.0"
"British Columbia","Specialized middle management occupations [10, 20, 30, 40, 50]","102.0"
"British Columbia","Middle management occupations in retail and wholesale trade and customer services [60]","103.3"
"British Columbia","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","96.7"
"British Columbia","Business, finance and administration occupations, except management [11-14]","462.7"
"British Columbia","Professional occupations in finance and business [11]","147.9"
"British Columbia","Professional occupations in finance [111]","82.1"
"British Columbia","Professional occupations in business [112]","65.7"
"British Columbia","Administrative and financial supervisors and specialized administrative occupations [12]","108.2"
"British Columbia","Administrative occupations and transportation logistics occupations [13]","84.2"
"British Columbia","Administrative and financial support and supply chain logistics occupations [14]","122.5"
"British Columbia","Natural and applied sciences and related occupations, except management [21-22]","211.2"
"British Columbia","Professional occupations in natural and applied sciences [21]","137.9"
"British Columbia","Professional occupations in natural sciences [211]","14.0"
"British Columbia","Professional occupations in applied sciences (except engineering) [212]","95.4"
"British Columbia","Professional occupations in engineering [213]","28.5"
"British Columbia","Technical occupations related to natural and applied sciences [22]","73.3"
"British Columbia","Health occupations, except management [31-33]","227.9"
"British Columbia","Professional occupations in health [31]","121.0"
"British Columbia","Health treating and consultation services professionals [311]","40.3"
"British Columbia","Therapy and assessment professionals [312]","19.7"
"British Columbia","Nursing and allied health professionals [313]","61.0"
"British Columbia","Technical occupations in health [32]","53.0"
"British Columbia","Assisting occupations in support of health services [33]","53.9"
"British Columbia","Occupations in education, law and social, community and government services, except management [41-45]","312.3"
"British Columbia","Professional occupations in law, education, social, community and government services [41]","197.8"
"British Columbia","Professional occupations in law [411]","15.9"
"British Columbia","Professional occupations in education services [412]","109.7"
"British Columbia","Professional occupations in social and community services [413]","33.3"
"British Columbia","Professional occupations in government services [414]","38.9"
"British Columbia","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","76.7"
"British Columbia","Occupations in front-line public protection services [421]","14.4"
"British Columbia","Paraprofessional occupations in legal, social, community and education services [422]","62.3"
"British Columbia","Assisting occupations in education and in legal and public protection [43]","23.0"
"British Columbia","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","14.7"
"British Columbia","Occupations in art, culture, recreation and sport, except management [51-55]","146.7"
"British Columbia","Professional occupations in art and culture [51]","34.8"
"British Columbia","Technical occupations in art, culture and sport [52]","53.7"
"British Columbia","Occupations in art, culture and sport [53]","30.4"
"British Columbia","Support occupations in art, culture and sport [54-55]","27.8"
"British Columbia","Sales and service occupations, except management [62-65]","699.1"
"British Columbia","Retail sales and service supervisors and specialized occupations in sales and services [62]","101.8"
"British Columbia","Occupations in sales and services [63]","95.9"
"British Columbia","Sales and service representatives and other customer and personal services occupations [64]","208.9"
"British Columbia","Sales and service support occupations [65]","292.5"
"British Columbia","Trades, transport and equipment operators and related occupations, except management [72-75]","399.5"
"British Columbia","Technical trades and transportation officers and controllers [72]","200.7"
"British Columbia","General trades [73]","101.7"
"British Columbia","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","23.8"
"British Columbia","Helpers and labourers and other transport drivers, operators and labourers [75]","73.4"
"British Columbia","Natural resources, agriculture and related production occupations, except management [82-85]","64.0"
"British Columbia","Supervisors and occupations in natural resources, agriculture and related production [82-83]","18.9"
"British Columbia","Workers and labourers in natural resources, agriculture and related production [84-85]","45.1"
"British Columbia","Occupations in manufacturing and utilities, except management [92-95]","75.8"
"British Columbia","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","24.0"
"British Columbia","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","37.2"
"British Columbia","Labourers in processing, manufacturing and utilities [95]","14.6"
"British Columbia","Unclassified occupations","65.8"
